# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
xue sheng 	學生	c=3 d=2.26307e-12 t=12715
xue sheng zheng 	學生證	c=1 d=1.04152e-08 t=12715
xue xi 	學習	c=5 d=0.00875785 t=12715
xue xiao 	學校	c=16 d=1.23072 t=12715
xue xiao si 	薛筱思	c=1 d=0.985112 t=12715
xue xue 	學學	c=1 d=0.913931 t=12715
xue yuan 	學院	c=1 d=0.771052 t=12715
xun jue 	勳爵	c=1 d=1.32791e-13 t=12715
xun zhao 	尋找	c=5 d=0.0074573 t=12715
ya 	呀	c=11 d=0.873777 t=12715
ya gao 	牙膏	c=0 d=0.1 t=11936
ya jin 	押金	c=1 d=4.0273e-07 t=12715
ya si 	雅思	c=2 d=0.219808 t=12715
ya zi 	鴨子	c=1 d=0.554327 t=12715
yan ge 	嚴格	c=1 d=0.0948935 t=12715
yan jie 	眼界	c=1 d=1 t=11849
yan jin 	嚴禁	c=1 d=0.0468877 t=12715
yan jin 	嚴謹	c=1 d=0.0471227 t=12715
yan jiu 	研究	c=5 d=0.349938 t=12715
yan pin 	贗品	c=1 d=1.22816e-06 t=12715
yan se 	顏色	c=1 d=8.33539e-06 t=12715
yan wai zhi yi 	言外之意	c=1 d=1 t=9672
yan wu 	厭惡	c=1 d=1.34381e-06 t=12715
yan yuan 	演員	c=1 d=1.53511e-13 t=12715
yan zheng 	驗證	c=4 d=8.1804e-05 t=12715
yan zhong 	嚴重	c=2 d=1.00002 t=11748
yan zhu rou 	醃豬肉	c=1 d=2.43049e-07 t=12715
yang 	揚	c=1 d=0.802519 t=12715
yang 	樣	c=5 d=0.000183188 t=12715
yang 	陽	c=1 d=0.995012 t=12715
yang 	養	c=1 d=1 t=11334
yang tai 	陽臺	c=3 d=1.63805 t=10215
yang zi 	樣子	c=1 d=1 t=12170
yao 	搖	c=1 d=4.43936e-06 t=12715
yao 	要	c=91 d=3.60832 t=12715
yao bu 	要不	c=5 d=0.541163 t=12715
yao bu yao 	要不要	c=5 d=0.00902488 t=12715
yao dao 	要到	c=1 d=1.29178e-12 t=12715
yao de 	要得	c=1 d=0.603506 t=12715
yao e lie 	要惡劣	c=1 d=1.84168e-08 t=12715
yao fang 	藥方	c=1 d=1.95052e-07 t=12715
yao mai 	要買	c=2 d=1.99501 t=9487
yao me 	要麼	c=4 d=0.627044 t=12715
yao qi 	藥企	c=1 d=0.0385808 t=12715
yao qiu 	要求	c=6 d=0.0387742 t=12715
yao qu 	要去	c=5 d=0.298837 t=12715
yao shi 	要是	c=2 d=0.00272578 t=12715
yao yong 	要用	c=1 d=0.000172519 t=12715
yao yu 	要與	c=1 d=1 t=10085
ye 	也	c=63 d=2.15738 t=12715
ye 	葉	c=3 d=0.856415 t=12715
ye 	頁	c=2 d=0.000108366 t=12715
ye bu 	也不	c=1 d=1 t=10788
ye dui 	也對	c=1 d=4.84737e-11 t=12715
ye hao 	也好	c=1 d=1.26577e-08 t=12715
ye hui 	也會	c=1 d=3.56388e-10 t=12715
ye mian 	頁面	c=1 d=1.01878e-13 t=12715
ye sheng 	野生	c=1 d=2.76792e-07 t=12715
ye shi 	也是	c=14 d=0.481968 t=12715
ye wei 	也爲	c=1 d=1 t=11081
ye xiang 	也想	c=1 d=1 t=11871
ye xu 	也許	c=11 d=0.254911 t=12715
ye you 	也有	c=4 d=0.416862 t=12715
ye you dian 	也有點	c=1 d=2.62702e-10 t=12715
ye zai 	也在	c=1 d=3.11435e-12 t=12715
yi 	一	c=5 d=0.0497733 t=12715
yi 	以	c=2 d=0.0229371 t=12715
yi 	懿	c=1 d=0.869358 t=12715
yi ban 	一半	c=5 d=8.67565e-06 t=12715
yi ban 	一般	c=6 d=0.509156 t=12715
yi bian 	一遍	c=1 d=0.786628 t=12715
yi bu 	一步	c=6 d=0.0495388 t=12715
yi bu er 	衣補兒	c=0 d=0.00383884 t=12715
yi bu er fang na 	衣補兒訪拿	c=1 d=0.0385809 t=12715
yi bu fen 	一部分	c=1 d=0.0137736 t=12715
yi bu yi bu 	一步一步	c=1 d=5.74268e-05 t=12715
yi chu 	一處	c=1 d=0.0107807 t=12715
yi ci 	一次	c=5 d=2.50541e-05 t=12715
yi dai 	一袋	c=4 d=0.184604 t=12715
yi de dao 	已得到	c=1 d=0.0320647 t=12715
yi dian 	一點	c=9 d=0.941764 t=12715
yi ding 	一定	c=4 d=0.0257325 t=12715
yi ding yao 	一定要	c=1 d=6.3674e-14 t=12715
yi dong 	移動	c=1 d=0.00022941 t=12715
yi dong dao 	移動到	c=1 d=0.000246044 t=12715
yi duan shi jian 	一段時間	c=1 d=4.85743e-06 t=12715
yi dui 	一堆	c=1 d=2.12906e-08 t=12715
yi fang wan yi 	以防萬一	c=1 d=0.000397626 t=12715
yi fen 	一份	c=3 d=0.860708 t=12715
yi feng 	一封	c=0 d=0.000927901 t=12715
yi fu 	一幅	c=1 d=1 t=10372
yi ge 	一個	c=129 d=4.70357 t=12715
yi ge in er 	一個∈而	c=2 d=1.87372 t=11087
yi ge ren 	一個人	c=1 d=3.9776e-08 t=12715
yi ge yue 	一個月	c=3 d=1.94195e-05 t=12715
yi gong 	一共	c=1 d=8.13236e-10 t=12715
yi gong shi 	一共是	c=1 d=2.3477e-11 t=12715
yi hang 	一行	c=0 d=0.000194013 t=12715
yi hang yi hang 	一行一行	c=1 d=0.00194985 t=12715
yi hou 	以後	c=13 d=0.786628 t=12715
yi hu 	一戶	c=1 d=1 t=12210
yi hui 	一會	c=21 d=3.71982 t=12715
yi ji 	以及	c=1 d=1 t=9086
yi jia 	一家	c=3 d=0.55751 t=12715
yi jian 	一件	c=3 d=6.75618e-11 t=12715
yi jiao 	一覺	c=1 d=0.19593 t=12715
yi jie 	一屆	c=0 d=0.0268474 t=12715
yi jie shu sheng 	一介書生	c=1 d=0.283654 t=12715
yi jie shu sheng 	一屆書生	c=1 d=0.26982 t=12715
yi jing 	已經	c=29 d=1.65491 t=12715
yi jing shi 	已經是	c=1 d=0.00027603 t=12715
yi jing you 	已經有	c=1 d=1 t=9861
yi kai shi 	一開始	c=1 d=6.61015e-13 t=12715
yi kan 	一看	c=0 d=0.0941764 t=12715
yi kan jiu dong 	一看就懂	c=1 d=0.946486 t=12715
yi kuan 	一款	c=1 d=0.106992 t=12715
yi lai 	以來	c=5 d=0.233321 t=12715
yi lai 	依賴	c=8 d=0.933856 t=12715
yi lai yu 	依賴於	c=2 d=0.278071 t=12715
yi liang 	一輛	c=1 d=0.289384 t=12715
yi lu 	一路	c=1 d=0.0544757 t=12715
yi lun 	一輪	c=1 d=0.574072 t=12715
yi lv 	一律	c=1 d=0.00546167 t=12715
yi men 	一門	c=2 d=3.70814e-12 t=12715
yi men ke 	一門課	c=1 d=9.49904e-14 t=12715
yi nian 	一年	c=5 d=0.418952 t=12715
yi nian de 	一年的	c=1 d=1 t=12336
yi ou 	一耦	c=1 d=1 t=12108
yi pai 	一排	c=1 d=2.14454e-05 t=12715
yi pian 	一篇	c=3 d=0.00582847 t=12715
yi qi 	一起	c=8 d=0.616616 t=12715
yi qi lian 	一起練	c=1 d=1.30454e-10 t=12715
yi qi mai 	一起買	c=1 d=1 t=9490
yi qian 	以前	c=5 d=0.38868 t=12715
yi shang wu 	一上午	c=1 d=0.818731 t=12715
yi shi 	意識	c=0 d=0.0271173 t=12715
yi shi ban hui 	一時半會	c=2 d=0.000902809 t=12715
yi shi di shang shuang 	意識地上爽	c=1 d=0.272532 t=12715
yi shi di shang shuang 	疑是地上霜	c=3 d=1.00763 t=12715
yi si 	意思	c=5 d=0.0106664 t=12715
yi tai 	一臺	c=1 d=1 t=9145
yi tang 	一趟	c=0 d=1.19824e-11 t=12715
yi tao 	一套	c=2 d=0.593102 t=12715
yi tian 	一天	c=4 d=1.39038 t=12715
yi tiao 	一條	c=4 d=0.812125 t=12715
yi ting 	一聽	c=1 d=7.99332e-13 t=12715
yi wan 	一晚	c=1 d=9.97931e-06 t=12715
yi wei 	以爲	c=1 d=1.83725e-09 t=12715
yi wei 	意味	c=2 d=1.00037 t=10630
yi wen 	一問	c=1 d=7.08944e-13 t=12715
yi xi 	依稀	c=0 d=3.33211e-14 t=12715
yi xia 	一下	c=23 d=2.15174 t=12715
yi xia 	以下	c=1 d=1 t=9911
yi xiang 	一箱	c=1 d=3.42298e-06 t=12715
yi xie 	一些	c=5 d=0.134654 t=12715
yi yang 	一樣	c=3 d=2.02131e-07 t=12715
yi yi 	意義	c=5 d=0.933345 t=12715
yi yuan 	意願	c=2 d=1.00427 t=11443
yi yuan 	醫院	c=1 d=1 t=10351
yi zhang 	一張	c=2 d=4.16244e-07 t=12715
yi zhang hong 	一丈紅	c=2 d=0.574445 t=12715
yi zhang hong 	一張宏	c=1 d=0.271173 t=12715
yi zheng ge 	一整個	c=1 d=8.01401e-14 t=12715
yi zheng tian 	一整天	c=1 d=0.0106734 t=12715
yi zhi 	一直	c=14 d=1.66387 t=12715
yi zhi 	一致	c=1 d=1 t=11965
yi zhi dou 	一直都	c=1 d=0.499075 t=12715
yi zhong 	一種	c=12 d=3.03885 t=12715
yi zhong ke neng 	一種可能	c=1 d=0.418951 t=12715
yi zhou 	一週	c=1 d=0.57695 t=12715
yi zhun 	一準	c=1 d=0.0464212 t=12715
yi zu 	一組	c=5 d=0.00710838 t=12715
yin 	因	c=1 d=6.36415e-08 t=12715
yin 	隱	c=1 d=0.0558548 t=12715
yin an 	陰暗	c=1 d=5.1578e-06 t=12715
yin ci 	因此	c=1 d=0.57695 t=12715
yin han 	隱含	c=1 d=0.54064 t=12715
yin ru 	引入	c=16 d=1.07338 t=12715
yin shi 	飲食	c=1 d=0.0963276 t=12715
yin wei 	因爲	c=23 d=2.35088 t=12715
yin wei er 	因爲而	c=1 d=0.514273 t=12715
yin yong 	引用	c=2 d=0.301463 t=12715
ying chou 	應酬	c=1 d=0.000120362 t=12715
ying dang 	應當	c=1 d=0.000780949 t=12715
ying gai 	應該	c=35 d=0.87193 t=12715
ying gai shi 	應該是	c=1 d=0.65377 t=12715
ying guo 	英國	c=17 d=1.36538 t=12715
ying guo de ren 	英國的人	c=1 d=0.506617 t=12715
ying pan 	硬盤	c=6 d=1.00228 t=12715
ying wen 	英文	c=5 d=1.71292 t=12715
ying xiang 	影響	c=4 d=0.000505481 t=12715
ying yang 	營養	c=1 d=1 t=9866
ying yong 	應用	c=6 d=0.0616805 t=12715
ying yu 	英語	c=2 d=0.479829 t=12715
yo 	喲	c=3 d=0.394077 t=12715
yong 	泳	c=11 d=8.0844e-06 t=12715
yong 	用	c=25 d=2.41044 t=12715
yong bu 	用不	c=0 d=2.0615e-12 t=12715
yong bu diao 	用不掉	c=1 d=2.07184e-11 t=12715
yong bu yong 	用不用	c=1 d=0.151829 t=12715
yong de 	用的	c=1 d=6.22203e-07 t=12715
yong duo le 	用多了	c=1 d=1.70391e-05 t=12715
yong guo 	用過	c=2 d=0.748264 t=12715
yong hu 	用戶	c=3 d=1.9542 t=12715
yong lai 	用來	c=2 d=0.0841908 t=12715
yong qi lai 	用起來	c=1 d=0.000370744 t=12715
yong wan 	用完	c=1 d=1 t=9636
yong xi guan 	用習慣	c=1 d=0.000382034 t=12715
yong yi 	泳衣	c=1 d=0.402524 t=12715
yong yu 	用於	c=2 d=1.81834e-05 t=12715
you 	又	c=7 d=0.887027 t=12715
you 	有	c=83 d=1.47284 t=12715
you 	由	c=26 d=1.4676 t=12715
you 	遊	c=1 d=0.546074 t=12715
you a 	有啊	c=1 d=5.98009e-11 t=12715
you ban fa 	有辦法	c=1 d=0.0620385 t=12715
you bian 	右邊	c=4 d=0.0435672 t=12715
you ce 	右側	c=1 d=1 t=10622
you ci 	由此	c=1 d=0.0569831 t=12715
you cuo wu 	有錯誤	c=1 d=0.687289 t=12715
you de 	有的	c=6 d=0.195955 t=12715
you dian 	有點	c=6 d=0.000376347 t=12715
you fei 	郵費	c=1 d=5.91858e-07 t=12715
you ge 	有個	c=4 d=0.392586 t=12715
you guang 	有光	c=0 d=0.000522135 t=12715
you hui 	優惠	c=5 d=0.00077193 t=12715
you hui 	幽會	c=2 d=2.60792e-13 t=12715
you jia zhi 	有價值	c=1 d=1 t=9880
you jian 	右鍵	c=1 d=0.000244817 t=12715
you jian 	油煎	c=1 d=2.74038e-07 t=12715
you jian 	郵件	c=17 d=0.927857 t=12715
you kong 	有空	c=2 d=0.0695993 t=12715
you le 	有了	c=1 d=0.0241131 t=12715
you mei you 	有沒有	c=11 d=0.360876 t=12715
you qiu 	有求	c=0 d=1.15384e-08 t=12715
you qiu yu ni 	有求與你	c=1 d=1.15963e-07 t=12715
you ren 	有人	c=3 d=0.937067 t=12715
you shi 	又是	c=1 d=3.59847e-06 t=12715
you shi 	有事	c=1 d=5.08447e-14 t=12715
you shuo 	有說	c=1 d=1 t=12275
you xian 	有限	c=2 d=1.9802 t=9087
you xian ji 	優先級	c=3 d=1.88486 t=9567
you xiang 	郵箱	c=7 d=1.65955 t=12715
you xiang li 	郵箱裏	c=1 d=4.17288e-13 t=12715
you xiao 	有效	c=3 d=0.437012 t=12715
you xie 	有些	c=3 d=0.267135 t=12715
you xiu 	優秀	c=2 d=1.39194e-07 t=12715
you yan 	友言	c=1 d=2.70003e-09 t=12715
you yao 	又要	c=2 d=9.61347e-07 t=12715
you yi 	友誼	c=3 d=2.1939e-08 t=12715
you yi duan 	有一段	c=1 d=1.01091e-10 t=12715
you yi ge 	有一個	c=8 d=1.2224 t=12715
you yi si 	有意思	c=1 d=0.263158 t=12715
you yong 	有用	c=1 d=1 t=9878
you yong 	游泳	c=3 d=0.769713 t=12715
you you 	又有	c=2 d=0.000389846 t=12715
you you ren 	又有人	c=1 d=8.69802e-07 t=12715
you yu 	憂鬱	c=2 d=1.91679 t=12715
yu 	域	c=0 d=0.0117655 t=12715
yu 	於	c=10 d=0.697374 t=12715
yu 	與	c=13 d=0.0419495 t=12715
yu 	餘	c=1 d=0.794534 t=12715
yu dao 	遇到	c=1 d=1.46344e-08 t=12715
yu dao dian 	遇到點	c=1 d=1.68782e-11 t=12715
yu ding 	預訂	c=1 d=1.79219e-11 t=12715
yu fa 	語法	c=7 d=0.0313907 t=12715
yu fa ceng 	語法層	c=4 d=1.30421 t=11159
yu gang 	浴缸	c=1 d=1 t=9431
yu ji 	預計	c=2 d=2.05187e-11 t=12715
yu ju 	語句	c=1 d=0.00165327 t=12715
yu ke 	預科	c=1 d=0.339596 t=12715
yu ming 	域名	c=3 d=2.94099 t=9269
yu ni 	與你	c=0 d=1.15384e-08 t=12715
yu yan 	語言	c=4 d=0.112516 t=12715
yu yan ban 	語言班	c=4 d=7.1799e-07 t=12715
yu yi 	予以	c=1 d=0.000784864 t=12715
yu yi 	語義	c=13 d=0.0360518 t=12715
yu yi ceng 	語義層	c=8 d=4.79432 t=11161
yu yue 	預約	c=2 d=0.0992613 t=12715
yuan 	原	c=1 d=0.0243554 t=12715
yuan 	遠	c=2 d=4.71388e-06 t=12715
yuan bu yuan yi 	願不願意	c=1 d=1 t=10353
yuan lai 	原來	c=6 d=0.0207543 t=12715
yuan lai ru ci 	原來如此	c=1 d=1.89255e-05 t=12715
yuan sheng 	原生	c=1 d=0.369723 t=12715
yuan shi 	原始	c=2 d=0.00130235 t=12715
yuan su 	元素	c=1 d=1 t=9024
yuan wen 	原文	c=1 d=0.000837575 t=12715
yuan xing 	原型	c=1 d=1.40566e-06 t=12715
yuan yi 	願意	c=3 d=0.000455097 t=12715
yuan yin 	原因	c=5 d=0.293387 t=12715
yuan ze 	原則	c=2 d=0.0191234 t=12715
yuan zi 	原子	c=2 d=0.000728153 t=12715
yue 	月	c=18 d=1.72221 t=12715
yue 	約	c=18 d=0.67533 t=12715
yue di 	月底	c=3 d=0.00522135 t=12715
yue du 	閱讀	c=17 d=0.844545 t=12715
yue duo 	越多	c=1 d=6.67317e-07 t=12715
yue fen 	月份	c=6 d=0.00558692 t=12715
yue hao 	約好	c=1 d=1 t=12007
yue hao 	越好	c=1 d=1 t=12006
yue hui 	約會	c=4 d=5.50888e-13 t=12715
yue le 	約了	c=2 d=1.00028 t=12455
yue pin 	粵拼	c=4 d=1.82583 t=12715
yue shu 	約束	c=2 d=1.96079 t=9117
yue yu 	粵語	c=2 d=0.686355 t=12715
yun 	暈	c=3 d=2.13132e-08 t=12715
yun 	運	c=1 d=1 t=11522
yun 	雲	c=1 d=0.0141516 t=12715
yun dong 	運動	c=1 d=1.12516e-05 t=12715
yun duan 	雲端	c=1 d=0.995012 t=12715
yun fei 	運費	c=3 d=2.12982e-05 t=12715
yun pan 	雲盤	c=1 d=0.0322254 t=12715
yun qi 	運氣	c=1 d=1.39239e-12 t=12715
yun suan 	運算	c=2 d=0.010186 t=12715
yun xing 	運行	c=1 d=1 t=9008
za 	咋	c=4 d=4.60606e-05 t=12715
za xiang 	雜項	c=1 d=2.22668e-06 t=12715
zai 	再	c=49 d=1.73088 t=12715
zai 	在	c=111 d=4.83381 t=12715
zai bu zai 	在不在	c=2 d=1.0567 t=12640
zai du 	在讀	c=1 d=2.26071e-08 t=12715
zai ma 	在嗎	c=1 d=0.557106 t=12715
zai qu 	再去	c=2 d=1.01105 t=11725
zai shuo 	再說	c=1 d=5.26379e-10 t=12715
zai yi 	在意	c=1 d=3.63526e-08 t=12715
zai yu 	在於	c=1 d=1 t=9642
zai zhe li 	在這裏	c=1 d=0.00775049 t=12715
zan shi 	暫時	c=15 d=0.70822 t=12715
zan ting 	暫停	c=1 d=2.02e-07 t=12715
zao dian 	早點	c=1 d=1 t=11221
zao fan 	早飯	c=0 d=0.1 t=10375
zao hao 	造好	c=1 d=0.778801 t=12715
zao jiu 	早就	c=2 d=5.85433e-09 t=12715
zao ne 	早呢	c=1 d=1.7033e-09 t=12715
zao ne me 	早呢麼	c=1 d=1.39889e-08 t=12715
zao shang 	早上	c=2 d=0.0086517 t=12715
zao xie 	早些	c=1 d=1 t=11731
zao zuo 	早作	c=1 d=1 t=11531
ze 	則	c=10 d=0.0719478 t=12715
ze min 	澤民	c=1 d=5.9216e-13 t=12715
ze shi 	則是	c=1 d=1 t=9781
zen me 	怎麼	c=23 d=0.748376 t=12715
zen me ang 	怎麼昂	c=1 d=2.88088e-07 t=12715
zen me le 	怎麼了	c=3 d=0.882497 t=12715
zen me yang 	怎麼樣	c=9 d=0.285969 t=12715
zen yang 	怎樣	c=1 d=5.87785e-14 t=12715
zeng jia 	增加	c=2 d=5.29434e-08 t=12715
zeng qiang 	增強	c=2 d=1.99501 t=12612
zhan 	站	c=2 d=1.98511 t=9615
zhan shi 	展示	c=1 d=6.73909e-05 t=12715
zhan xian 	展現	c=2 d=8.11136e-09 t=12715
zhan you 	佔有	c=1 d=1 t=10213
zhang hao 	帳號	c=5 d=0.000612979 t=12715
zhang hong 	張宏	c=0 d=0.026982 t=12715
zhang hu 	賬戶	c=3 d=0.550548 t=12715
zhang li 	張力	c=1 d=0.822835 t=12715
zhao 	找	c=12 d=0.504392 t=12715
zhao 	昭	c=1 d=0.188247 t=12715
zhao 	趙	c=2 d=1.04712 t=9823
zhao bu dao 	找不到	c=1 d=0.00031751 t=12715
zhao chu 	找出	c=4 d=0.000743396 t=12715
zhao chu lai 	找出來	c=2 d=0.305746 t=12715
zhao dao 	找到	c=17 d=0.398082 t=12715
zhao dao le 	找到了	c=1 d=1.58926e-09 t=12715
zhao fang 	找房	c=7 d=4.00622 t=10168
zhao ge 	找個	c=2 d=0.737124 t=12715
zhao gong zuo 	找工作	c=3 d=1.17668e-09 t=12715
zhao gu 	照顧	c=2 d=1.22629e-07 t=12715
zhao guo 	找過	c=2 d=0.00373503 t=12715
zhao le 	找了	c=1 d=7.0189e-13 t=12715
zhao pian 	照片	c=4 d=0.597501 t=12715
zhao ren 	找人	c=3 d=1.8038e-09 t=12715
zhao xiao yi 	赵晓译	c=1 d=0.831104 t=12715
zhao yi ge 	找一個	c=1 d=0.177284 t=12715
zhao zhang 	找張	c=1 d=4.65572e-07 t=12715
zhe 	折	c=2 d=1.43881e-05 t=12715
zhe 	着	c=3 d=0.551108 t=11936
zhe 	這	c=11 d=0.601934 t=12715
zhe bian 	這邊	c=2 d=1.24537 t=11984
zhe duan 	這段	c=1 d=1 t=9928
zhe ge 	這個	c=76 d=3.2464 t=12715
zhe ge yue 	這個月	c=1 d=9.09837e-07 t=12715
zhe ji ge 	這幾個	c=1 d=1 t=12271
zhe jia 	這家	c=1 d=1 t=12470
zhe jiu 	這就	c=1 d=1 t=10629
zhe ju hua 	這句話	c=1 d=1 t=10751
zhe kou 	折扣	c=1 d=9.66099e-07 t=12715
zhe li 	這裏	c=7 d=0.834399 t=12715
zhe li mian 	這裏面	c=3 d=0.15259 t=12715
zhe liang 	這兩	c=1 d=7.05048e-07 t=12715
zhe liang tiao 	這兩條	c=1 d=0.0765355 t=12715
zhe me 	這麼	c=9 d=0.71901 t=12715
zhe me duo 	這麼多	c=2 d=8.66664e-11 t=12715
zhe shi 	這是	c=6 d=1.19212 t=12715
zhe shi bu shi 	這是不是	c=2 d=1.09497 t=12715
zhe shi yi ge 	這是一個	c=1 d=0.00444933 t=12715
zhe tai 	這臺	c=1 d=0.000204488 t=12715
zhe tao 	這套	c=3 d=1.06559 t=10799
zhe xie 	這些	c=16 d=1.07209 t=12715
zhe ya gao 	着牙膏	c=1 d=1 t=11937
zhe yang 	這樣	c=30 d=0.421052 t=12715
zhe yang de hua 	這樣的話	c=1 d=1 t=12483
zhe yang jiang 	這樣講	c=1 d=1 t=12424
zhe yang wo men 	這樣我們	c=1 d=0.000611253 t=12715
zhe yang zi 	這樣子	c=1 d=5.13295e-08 t=12715
zhe yi 	這一	c=6 d=1.85915 t=12715
zhe yi dian 	這一點	c=1 d=3.76474e-08 t=12715
zhe yi ge 	這一個	c=2 d=0.0325975 t=12715
zhe yi guan xi 	這一關係	c=1 d=1 t=9759
zhe yi jia 	這一家	c=1 d=1 t=12425
zhe yi jie 	這一節	c=1 d=1 t=10646
zhe yi ming ti 	這一命題	c=1 d=1 t=10758
zhe yi shi ke 	這一時刻	c=1 d=1 t=10583
zhe yi tao 	這一套	c=6 d=1.72629 t=12370
zhe yi tiao 	這一條	c=3 d=0.75691 t=12715
zhe you 	這有	c=0 d=0.0198891 t=12715
zhe you shen me 	這有什麼	c=1 d=0.199888 t=12715
zhe zhi 	這隻	c=0 d=0.000265848 t=12715
zhe zhi shi 	這隻是	c=1 d=0.00267181 t=12715
zhe zhong 	這種	c=12 d=0.0265274 t=12715
zhe zhou 	這周	c=0 d=0.1 t=9849
zhe zhou mo 	着週末	c=1 d=1 t=10782
zhe zhou wu 	這周五	c=1 d=1 t=9850
zhen 	真	c=10 d=0.044555 t=12715
zhen de 	真的	c=6 d=0.825597 t=12715
zhen de you 	真的有	c=1 d=1.46757e-13 t=12715
zhen hao 	真好	c=1 d=1.54575e-06 t=12715
zhen shi 	真是	c=1 d=1 t=11139
zhen shi xing 	真實性	c=2 d=0.0907769 t=12715
zhen zheng 	真正	c=1 d=2.83211e-12 t=12715
zhen zhi 	真值	c=10 d=0.0141223 t=12715
zhen zhi 	真摯	c=1 d=0.00392653 t=12715
zhen zhi biao 	真值表	c=1 d=1 t=10886
zheng 	正	c=0 d=0.1 t=11486
zheng 	證	c=1 d=1 t=11488
zheng ban 	正版	c=1 d=2.06186e-13 t=12715
zheng chang 	正常	c=3 d=0.0135686 t=12715
zheng ge 	整個	c=2 d=0.913931 t=12715
zheng hao 	正好	c=1 d=1.56129e-06 t=12715
zheng li 	整理	c=7 d=0.778816 t=12715
zheng min 	烝民	c=2 d=0.126589 t=12715
zheng ming 	證明	c=26 d=0.908989 t=12715
zheng que 	正確	c=5 d=0.0116971 t=12715
zheng shi 	正式	c=1 d=0.585669 t=12715
zheng tao 	整套	c=1 d=0.0110536 t=12715
zheng ti 	整體	c=1 d=0.263158 t=12715
zheng zai 	正在	c=2 d=0.33454 t=12715
zhi 	之	c=4 d=0.0171604 t=12715
zhi 	值	c=6 d=0.615695 t=12715
zhi 	只	c=14 d=1.96782 t=12715
zhi 	指	c=2 d=0.00188279 t=12715
zhi 	紙	c=1 d=0.000104638 t=12715
zhi 	至	c=1 d=0.282239 t=12715
zhi bu guo 	只不過	c=3 d=1.10729 t=12715
zhi cha 	只差	c=1 d=1 t=11670
zhi chi 	支持	c=3 d=1.31392 t=12715
zhi da 	直達	c=1 d=0.418952 t=12715
zhi dai 	指代	c=1 d=0.00166156 t=12715
zhi dao 	之道	c=1 d=5.70122e-08 t=12715
zhi dao 	指導	c=1 d=1.39168e-06 t=12715
zhi dao 	知道	c=14 d=1.14453 t=12715
zhi de 	值得	c=1 d=1 t=9131
zhi de 	指的	c=1 d=1 t=9132
zhi di 	質地	c=1 d=8.63229e-06 t=12715
zhi fang 	脂肪	c=1 d=1.39575e-11 t=12715
zhi fu bao 	支付寶	c=1 d=3.33041e-07 t=12715
zhi hou 	之後	c=19 d=1.1361 t=12715
zhi hu 	知乎	c=3 d=0.313586 t=12715
zhi hu zhou kan 	知乎週刊	c=1 d=0.0066709 t=12715
zhi jian 	之間	c=2 d=1.00002 t=11828
zhi jie 	直接	c=16 d=0.606394 t=12715
zhi jue 	直覺	c=6 d=8.43952e-05 t=12715
zhi jue ei 	直覺誒	c=1 d=1 t=9606
zhi ling 	指令	c=1 d=0.806541 t=12715
zhi neng 	只能	c=13 d=1.02949 t=12715
zhi qian 	之前	c=21 d=0.9836 t=12715
zhi shang 	之上	c=1 d=9.2343e-05 t=12715
zhi shao 	至少	c=2 d=1.00403 t=10780
zhi shi 	只是	c=11 d=0.929955 t=12715
zhi shi 	知識	c=1 d=1 t=11684
zhi shi 	芝士	c=2 d=1.87372 t=12176
zhi wai 	之外	c=2 d=0.0057994 t=12715
zhi xin 	製心	c=1 d=0.0107269 t=12715
zhi xing he yi 	知行合一	c=1 d=0.0106734 t=12715
zhi yao 	只要	c=16 d=1.00575 t=12715
zhi yao kan 	只要看	c=1 d=1 t=10700
zhi yi 	質疑	c=1 d=0.00137404 t=12715
zhi you 	只有	c=13 d=0.422019 t=12715
zhi zhao dao 	只找到	c=1 d=0.506617 t=12715
zhi zhong 	之中	c=2 d=0.348107 t=12715
zhong 	中	c=32 d=1.63133 t=12715
zhong 	種	c=7 d=0.000132851 t=12715
zhong 	重	c=1 d=0.0283654 t=12715
zhong 	鍾	c=0 d=0.1 t=11377
zhong gang 	中港	c=1 d=6.8103e-11 t=12715
zhong guo 	中國	c=3 d=0.707379 t=12715
zhong guo pian 	中國片	c=1 d=0.375311 t=12715
zhong guo ren 	中國人	c=1 d=3.8794e-08 t=12715
zhong jian 	中間	c=1 d=1 t=10432
zhong jie 	中介	c=5 d=0.212815 t=12715
zhong wen 	中文	c=4 d=1.15831 t=12715
zhong wu 	中午	c=1 d=0.000119165 t=12715
zhong yao 	重要	c=2 d=0.0162551 t=12715
zhong yi 	鍾意	c=1 d=1 t=11428
zhong ying wen 	中英文	c=1 d=1 t=8978
zhong yong 	中庸	c=1 d=3.91839e-08 t=12715
zhong yu 	終於	c=1 d=1.8102e-11 t=12715
zhong zhuan zhan 	中轉站	c=1 d=4.3417e-09 t=12715
zhou 	周	c=1 d=0.000522135 t=12715
zhou kan 	週刊	c=1 d=0.315158 t=12715
zhou mo 	週末	c=5 d=0.554701 t=12715
zhou san 	週三	c=1 d=1 t=10505
zhou si 	週四	c=2 d=0.299692 t=12715
zhou wu 	週五	c=1 d=1 t=11346
zhou xin 	周鑫	c=1 d=0.937067 t=12715
zhou you guang 	周有光	c=2 d=0.317425 t=12715
zhu 	住	c=19 d=1.09698 t=12715
